SRA,isolation_source,Organism,Sample Name,geo_loc_name_country,geo_loc_name_country_continent,Paper
SRR5028307,anaerobic reactor,anaerobic digester metagenome,IS1,China,Asia,Deng et al. 2017
SRR5028318,anaerobic reactor,anaerobic digester metagenome,IS2,China,Asia,Deng et al. 2017
SRR5028640,anaerobic reactor,anaerobic digester metagenome,IS3,China,Asia,Deng et al. 2017
SRR5028641,anaerobic reactor,anaerobic digester metagenome,IS4,China,Asia,Deng et al. 2017
SRR5028645,anaerobic reactor,anaerobic digester metagenome,IS5,China,Asia,Deng et al. 2017
SRR5028658,anaerobic reactor,anaerobic digester metagenome,IL1,China,Asia,Deng et al. 2017
SRR5028661,anaerobic reactor,anaerobic digester metagenome,IL2,China,Asia,Deng et al. 2017
SRR5028692,anaerobic reactor,anaerobic digester metagenome,IL3,China,Asia,Deng et al. 2017
SRR5028694,anaerobic reactor,anaerobic digester metagenome,IL4,China,Asia,Deng et al. 2017
SRR5028696,anaerobic reactor,anaerobic digester metagenome,IL5,China,Asia,Deng et al. 2017
SRR5028698,rumen of cattles at a slaughterhouse,bovine gut metagenome,RM,China,Asia,Deng et al. 2017
SRR5028701,an anaerobic plant treating kitchen waste,anaerobic digester metagenome,AS,China,Asia,Deng et al. 2017
