SRA,geo_loc_name_country,geo_loc_name_country_continent,Sample Name,rel_to_oxygen,Paper
SRR6122451,China,Asia,Sample 1-1,anaerobe,Deng et al. 2018
SRR6122511,China,Asia,Sample 5,anaerobe,Deng et al. 2018
SRR6122506,China,Asia,Sample 1-2,anaerobe,Deng et al. 2018
SRR6122507,China,Asia,Sample 1-3,anaerobe,Deng et al. 2018
SRR6122509,China,Asia,Sample 3,anaerobe,Deng et al. 2018
SRR6122513,China,Asia,Sample 6-1,anaerobe,Deng et al. 2018
SRR6122514,China,Asia,Sample 6-2,anaerobe,Deng et al. 2018
SRR6122508,China,Asia,Sample 2,NA,Deng et al. 2018
SRR6122510,China,Asia,Sample 4,anaerobe,Deng et al. 2018
SRR6122515,China,Asia,Sample 6-3,anaerobe,Deng et al. 2018
