,Reactor_tax,Reactor_div,Reactor_nmd,Sampling_day,Sampling_point,Days_operation,OLR ,HRT ,Sampling_interval ,Code,Phase,geo_loc_name_country,geo_loc_name_country_continent,Paper
B1,R1,R1,R1,13.11.20,T1,2,5,8,4,B1,Adapt_phase,Germany,Europe,This work
B10,R1,R1,R1,14.01.21,T32,64,5,8,12,B10,Cond_1,Germany,Europe,This work
B11,R1,R1,R1,26.01.21,T38,76,5,8,12,B11,Cond_1,Germany,Europe,This work
B12,R1,R1,R1,07.02.21,T44,88,5,8,12,B12,Cond_1,Germany,Europe,This work
B13,R1,R1,R1,19.02.21,T50,100,5,8,12,B13,Cond_1,Germany,Europe,This work
B14,R1,R1,R1,03.03.21,T56,112,5,8,12,B14,Cond_1,Germany,Europe,This work
B15,R1,R1,R1,15.03.21,T62,124,5,8,12,B15,Cond_1,Germany,Europe,This work
B16,R1,R1,R1,27.03.21,T68,136,5,8,12,B16,Cond_1,Germany,Europe,This work
B17,R1,R1,R1,04.04.21,T72,144,7.5,8,8,B17,Cond_2,Germany,Europe,This work
B18,R1,R1,R1,12.04.21,T76,152,7.5,8,8,B18,Cond_2,Germany,Europe,This work
B19,R1,R1,R1,20.04.21,T80,160,7.5,8,8,B19,Cond_2,Germany,Europe,This work
B2,R1,R1,R1,17.11.20,T3,6,5,8,4,B2,Adapt_phase,Germany,Europe,This work
B20,R1,R1,R1,28.04.21,T84,168,7.5,8,8,B20,Cond_2,Germany,Europe,This work
B21,R1,R1,R1,06.05.21,T88,176,7.5,8,8,B21,Cond_2,Germany,Europe,This work
B22,R1,R1,R1,10.05.21,T90,180,7.5,8,4,B22,Cond_2,Germany,Europe,This work
B23,R1,R1,R1,14.05.21,T92,184,10,5,8,B23,Cond_3,Germany,Europe,This work
B24,R1,R1,R1,22.05.21,T96,192,10,5,8,B24,Cond_3,Germany,Europe,This work
B25,R1,R1,R1,30.05.21,T100,200,10,5,8,B25,Cond_3,Germany,Europe,This work
B26,R1,R1,R1,07.06.21,T104,208,10,5,8,B26,Cond_3,Germany,Europe,This work
B27,R1,R1,R1,15.06.21,T108,216,10,5,8,B27,Cond_3,Germany,Europe,This work
B28,R1,R1,R1,23.06.21,T112,224,10,5,8,B28,Cond_3,Germany,Europe,This work
B29,R2,R2,R2,15.11.20,T1,2,5,8,4,B29,Adapt_phase,Germany,Europe,This work
B3,R1,R1,R1,21.11.20,T5,10,5,8,4,B3,Adapt_phase,Germany,Europe,This work
B30,R2,R2,R2,19.11.20,T3,6,5,8,4,B30,Adapt_phase,Germany,Europe,This work
B31,R2,R2,R2,23.11.20,T5,10,5,8,4,B31,Adapt_phase,Germany,Europe,This work
B32,R2,R2,R2,27.11.20,T7,14,5,8,4,B32,Adapt_phase,Germany,Europe,This work
B33,R2,R2,R2,01.12.20,T9,18,5,8,4,B33,Adapt_phase,Germany,Europe,This work
B34,R2,R2,R2,05.12.20,T11,22,5,8,4,B34,Adapt_phase,Germany,Europe,This work
B35,R2,R2,R2,11.12.20,T14,28,5,8,12,B35,Adapt_phase,Germany,Europe,This work
B36,R2,R2,R2,23.12.20,T20,40,5,8,12,B36,Adapt_phase,Germany,Europe,This work
B37,R2,R2,R2,06.01.21,T27,54,5,8,12,B37,Cond_1,Germany,Europe,This work
B39,R2,R2,R2,30.01.21,T39,78,5,8,12,B39,Cond_1,Germany,Europe,This work
B4,R1,R1,R1,25.11.20,T7,14,5,8,4,B4,Adapt_phase,Germany,Europe,This work
B40,R2,R2,R2,11.02.21,T45,90,5,8,12,B40,Cond_1,Germany,Europe,This work
B41,R2,R2,R2,23.02.21,T51,102,5,8,12,B41,Cond_1,Germany,Europe,This work
B42,R2,R2,R2,07.03.21,T57,114,5,8,12,B42,Cond_1,Germany,Europe,This work
B43,R2,R2,R2,19.03.21,T63,126,5,8,12,B43,Cond_1,Germany,Europe,This work
B44,R2,R2,R2,31.03.21,T69,138,5,8,12,B44,Cond_1,Germany,Europe,This work
B45,R2,R2,R2,08.04.21,T73,146,7.5,8,8,B45,Cond_2,Germany,Europe,This work
B46,R2,R2,R2,16.04.21,T77,154,7.5,8,8,B46,Cond_2,Germany,Europe,This work
B47,R2,R2,R2,24.04.21,T81,162,7.5,8,8,B47,Cond_2,Germany,Europe,This work
B48,R2,R2,R2,02.05.21,T85,170,7.5,8,8,B48,Cond_2,Germany,Europe,This work
B49,R2,R2,R2,10.05.21,T89,178,7.5,8,8,B49,Cond_2,Germany,Europe,This work
B5,R1,R1,R1,29.11.20,T9,18,5,8,4,B5,Adapt_phase,Germany,Europe,This work
B50,R2,R2,R2,14.05.21,T91,182,7.5,8,4,B50,Cond_2,Germany,Europe,This work
B51,R2,R2,R2,18.05.21,T93,186,10,5,8,B51,Cond_3,Germany,Europe,This work
B52,R2,R2,R2,26.05.21,T97,194,10,5,8,B52,Cond_3,Germany,Europe,This work
B53,R2,R2,R2,03.06.21,T101,202,10,5,8,B53,Cond_3,Germany,Europe,This work
B54,R2,R2,R2,11.06.21,T105,210,10,5,8,B54,Cond_3,Germany,Europe,This work
B55,R2,R2,R2,19.06.21,T109,218,10,5,8,B55,Cond_3,Germany,Europe,This work
B56,R2,R2,R2,27.06.21,T113,226,10,5,8,B56,Cond_3,Germany,Europe,This work
B57,R3,R3,R3,17.11.20,T1,2,5,40,4,B57,Adapt_phase,Germany,Europe,This work
B58,R3,R3,R3,21.11.20,T3,6,5,40,4,B58,Adapt_phase,Germany,Europe,This work
B59,R3,R3,R3,25.11.20,T5,10,5,40,4,B59,Adapt_phase,Germany,Europe,This work
B6,R1,R1,R1,03.12.20,T11,22,5,8,4,B6,Adapt_phase,Germany,Europe,This work
B60,R3,R3,R3,29.11.20,T7,14,5,40,4,B60,Adapt_phase,Germany,Europe,This work
B61,R3,R3,R3,03.12.20,T9,18,5,40,4,B61,Adapt_phase,Germany,Europe,This work
B62,R3,R3,R3,07.12.20,T11,22,5,40,4,B62,Adapt_phase,Germany,Europe,This work
B63,R3,R3,R3,13.12.20,T14,28,5,40,12,B63,Adapt_phase,Germany,Europe,This work
B64,R3,R3,R3,25.12.20,T20,40,5,40,12,B64,Adapt_phase,Germany,Europe,This work
B65,R3,R3,R3,06.01.21,T26,52,5,40,12,B65,Cond_1,Germany,Europe,This work
B66,R3,R3,R3,18.01.21,T32,64,5,40,12,B66,Cond_1,Germany,Europe,This work
B67,R3,R3,R3,30.01.21,T38,76,5,40,12,B67,Cond_1,Germany,Europe,This work
B68,R3,R3,R3,11.02.21,T44,88,5,40,12,B68,Cond_1,Germany,Europe,This work
B69,R3,R3,R3,23.02.21,T50,100,5,40,12,B69,Cond_1,Germany,Europe,This work
B7,R1,R1,R1,09.12.20,T14,28,5,8,12,B7,Adapt_phase,Germany,Europe,This work
B70,R3,R3,R3,07.03.21,T56,112,5,40,12,B70,Cond_1,Germany,Europe,This work
B71,R3,R3,R3,19.03.21,T62,124,5,40,12,B71,Cond_1,Germany,Europe,This work
B72,R3,R3,R3,31.03.21,T68,136,5,40,12,B72,Cond_1,Germany,Europe,This work
B73,R3,R3,R3,08.04.21,T72,144,7.5,40,8,B73,Cond_2,Germany,Europe,This work
B74,R3,R3,R3,16.04.21,T76,152,7.5,40,8,B74,Cond_2,Germany,Europe,This work
B75,R3,R3,R3,24.04.21,T80,160,7.5,40,8,B75,Cond_2,Germany,Europe,This work
B76,R3,R3,R3,02.05.21,T84,168,7.5,40,8,B76,Cond_2,Germany,Europe,This work
B77,R3,R3,R3,10.05.21,T88,176,7.5,40,8,B77,Cond_2,Germany,Europe,This work
B78,R3,R3,R3,14.05.21,T90,180,7.5,40,4,B78,Cond_2,Germany,Europe,This work
B79,R3,R3,R3,18.05.21,T92,184,10,23,8,B79,Cond_3,Germany,Europe,This work
B8,R1,R1,R1,21.12.20,T20,40,5,8,12,B8,Adapt_phase,Germany,Europe,This work
B80,R3,R3,R3,26.05.21,T96,192,10,23,8,B80,Cond_3,Germany,Europe,This work
B81,R3,R3,R3,03.06.21,T100,200,10,23,8,B81,Cond_3,Germany,Europe,This work
B82,R3,R3,R3,11.06.21,T104,208,10,23,8,B82,Cond_3,Germany,Europe,This work
