SRA,Library Name,Sample_Name,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Paper
ERR3445444,Amplicon sequencing of 16S rRNA gene of sample “Crop-AD CC”,Crop-AD CC,Europe,Denmark,Feng et al. 2020
ERR3445445,Amplicon sequencing of 16S rRNA gene of sample “Crop-AD CC”,Crop-AD CC,Europe,Denmark,Feng et al. 2020
ERR3445447,Amplicon sequencing of 16S rRNA gene of sample “Crop-AD CC+SL”,Crop-AD CC+SL,Europe,Denmark,Feng et al. 2020
ERR3445448,Amplicon sequencing of 16S rRNA gene of sample “Crop-AD CC+SL”,Crop-AD CC+SL,Europe,Denmark,Feng et al. 2020
ERR3445450,Amplicon sequencing of 16S rRNA gene of sample “Crop-AD CC+SH”,Crop-AD CC+SH,Europe,Denmark,Feng et al. 2020
ERR3445451,Amplicon sequencing of 16S rRNA gene of sample “Crop-AD CC+SH”,Crop-AD CC+SH,Europe,Denmark,Feng et al. 2020
ERR3445453,Amplicon sequencing of 16S rRNA gene of sample “CoM-AD CC+M”,CoM-AD CC+M,Europe,Denmark,Feng et al. 2020
ERR3445454,Amplicon sequencing of 16S rRNA gene of sample “CoM-AD CC+M”,CoM-AD CC+M,Europe,Denmark,Feng et al. 2020
ERR3445456,Amplicon sequencing of 16S rRNA gene of sample “CoM-AD CC+SL+M”,CoM-AD CC+SL+M,Europe,Denmark,Feng et al. 2020
ERR3445457,Amplicon sequencing of 16S rRNA gene of sample “CoM-AD CC+SL+M”,CoM-AD CC+SL+M,Europe,Denmark,Feng et al. 2020
ERR3445459,Amplicon sequencing of 16S rRNA gene of sample “CoM-AD CC+SH+M”,CoM-AD CC+SH+M,Europe,Denmark,Feng et al. 2020
ERR3445460,Amplicon sequencing of 16S rRNA gene of sample “CoM-AD CC+SH+M”,CoM-AD CC+SH+M,Europe,Denmark,Feng et al. 2020
ERR3445462,Amplicon sequencing of 16S rRNA gene of sample “Mono-AD manure”,Mono-AD manure,Europe,Denmark,Feng et al. 2020
ERR3445463,Amplicon sequencing of 16S rRNA gene of sample “Mono-AD manure”,Mono-AD manure,Europe,Denmark,Feng et al. 2020
ERR3445465,Amplicon sequencing of 16S rRNA gene of sample “Cow Manure”,Cow Manure,Europe,Denmark,Feng et al. 2020
ERR3445466,Amplicon sequencing of 16S rRNA gene of sample “Cow Manure”,Cow Manure,Europe,Denmark,Feng et al. 2020
ERR3445468,Amplicon sequencing of 16S rRNA gene of sample “Inoculum”,Inoculum,Europe,Denmark,Feng et al. 2020
ERR3445469,Amplicon sequencing of 16S rRNA gene of sample “Inoculum”,Inoculum,Europe,Denmark,Feng et al. 2020
