x;OLR ;HRT ;pH;VFA
B1;5;8;7,84;744,08
B10;5;8;7,48;144,03
B11;5;8;7,22;2082,23
B12;5;8;7,42;854,28
B13;5;8;7,49;1498,76
B14;5;8;7,52;434,27
B15;5;8;7,53;238,89
B16;5;8;7,31;208,68
B17;7,5;8;7,45;194,36
B18;7,5;8;8,27;190,63
B19;7,5;8;7,52;189,55
B2;5;8;7,85;1175,98
B20;7,5;8;7,37;196,27
B21;7,5;8;7,74;231,9
B22;7,5;8;7,68;242,94
B23;10;5;6,97;528,16
B24;10;5;7,52;336,37
B25;10;5;8,56;258,49
B26;10;5;7,35;357,25
B27;10;5;7,38;353,46
B28;10;5;7,69;312,62
B3;5;8;7,62;1933,06
B30;5;8;8,41;613,61
B31;5;8;8,49;1621,75
B32;5;8;8,72;2518,75
B33;5;8;8,48;3126,87
B34;5;8;8,77;3168,64
B35;5;8;8,95;3327,17
B36;5;8;8,13;3099,96
B37;5;8;8,8;2345,32
B39;5;8;8,93;2778,66
B4;5;8;7,27;1840,19
B40;5;8;8,44;3245,17
B41;5;8;8,99;3035,43
B42;5;8;8,22;3102,28
B43;5;8;8,62;1936,19
B44;5;8;8,49;2494,26
B45;7,5;8;8,74;2392,53
B46;7,5;8;8,88;2250,14
B47;7,5;8;9,06;2345,1
B48;7,5;8;8,9;2372,65
B49;7,5;8;9,25;2360,31
B5;5;8;7,48;1726,54
B50;7,5;8;9,24;3126,517
B51;10;5;7,48;2351,993
B52;10;5;7,66;2720,31
B53;10;5;7,65;1658,3
B54;10;5;7,74;1684,79
B55;10;5;7,68;1185,89
B56;10;5;7,74;940,58
B57;5;40;8,86;94,24
B58;5;40;8,33;240,6
B59;5;40;8,08;536,72
B6;5;8;7,19;1521,81
B60;5;40;7,88;945,8
B61;5;40;7,57;653,44
B62;5;40;7,84;40,67
B63;5;40;7,48;47,55
B64;5;40;7,48;137,34
B65;5;40;7,82;280,78
B66;5;40;7,83;110,23
B67;5;40;7,67;165,25
B68;5;40;7,49;110,28
B69;5;40;7,74;139,06
B7;5;8;7,36;1136,77
B70;5;40;7,8;106,17
B71;5;40;7,8;94,9
B72;5;40;7,69;127,43
B73;7,5;40;7,81;68,67
B74;7,5;40;7,71;125,09
B75;7,5;40;7,8;78,86
B76;7,5;40;7,82;77,21
B77;7,5;40;8,08;106,72
B78;7,5;40;7,27;117,85
B79;10;23;7,91;114,15
B8;5;8;7,61;376,96
B80;10;23;7,83;85,3
B81;10;23;7,81;68,97
B82;10;23;7,72;94,29
B83;10;23;7,84;513,86
B84;10;23;7,51;62,35
B9;5;8;7,31;126,24
